place_id,name,latitude,longitude,rating,is_boutique
ChIJBc4DjRdHK4cRai2bq-TkMnE,Bell Fitness,33.5068852,-112.3592497,5.0,0
ChIJ31A0M6VrK4cRDOLSfcdputU,Phoenix Fitness,33.57880000000001,-112.2045941,3.9,0
ChIJd65gug1pK4cRqSyFYgWmcxo,VASA Fitness,33.6094223,-112.150361,4.3,0
ChIJAQDAg7VrK4cRDKuyYLOg8ug,Glendale Community College Fitness Center,33.5700061,-112.1922459,4.7,0
ChIJGchgLe4VK4cRSUgaYEu8MFY,Planet Fitness,33.4972412,-112.1528387,4.3,0
ChIJRSpSWd8SK4cR7aKnXC3b4SM,Planet Fitness,33.5082027,-112.0950049,4.2,0
ChIJyVnaB5BzK4cRdNEx1LkvSUw,VASA Fitness,33.6105309,-112.0146247,4.5,0
ChIJUwbsracNK4cRyAWwA7YHPxQ,Anytime Fitness,33.4937498,-112.0141024,4.2,0
ChIJg_SF-88SK4cRorK30p6-POA,Jabz Boxing Fitness - Central Phoenix,33.5171643,-112.0829284,4.9,1
ChIJn7UDxt5zK4cR77ypxeP5dDg,Mountainside Fitness Paradise Valley,33.5832277,-111.9659574,4.6,0
ChIJHx8BcNd1K4cR4OoKkjT1UiU,MVMT Fitness Club,33.5817383,-111.9310566,4.7,0
ChIJZTLFdQINK4cRiwykpscWz-g,MUSCLETOPIA USA,33.486756,-112.0305594,4.9,0
ChIJ71mmWpILK4cRc4OfbYAR0Y0,Hive Fit Club,33.5555564,-111.8906746,4.9,0
ChIJN7V5XF0KK4cRTUwPzSMGnxQ,SCC Fitness and Wellness Center,33.5134022,-111.8850366,4.8,0
ChIJAQ32U98KK4cRIXOVqkWPEV4,LA Fitness,33.5443733,-111.9041764,4.6,0
ChIJCVEbGuAKK4cRz8EZ7I0ZxZ4,Mountainside Fitness Scottsdale Pavilions,33.5369365,-111.889454,4.4,0
ChIJmSs0eOQLK4cRTZ0s3w-sLO0,The Athletic Club,33.5374383,-111.9062309,5.0,0
ChIJcbah7tELK4cRGvKUfjDZvBc,Mountainside Fitness Executive Club,33.5016914,-111.9284598,4.5,0
ChIJVVXFEKwLK4cR2e4iJsjScKM,Anytime Fitness,33.5107369,-111.9095927,4.2,0
ChIJJeUoztMLK4cRmazqJ6rYhNE,Independence Gym,33.4819461,-111.909733,4.4,0
ChIJPxOfmY2fK4cR3E9bnK5C4tg,Mountainside Fitness Scottsdale Shea,33.5844082,-111.8294016,4.4,0
ChIJ6bcw5_Z1K4cRTavWRTuVLeI,DC Ranch Village Health Club & Spa,33.6560707,-111.8659896,4.4,0
ChIJrQFq5oCYK4cRXk1pM6XrVG4,Peaks Athletic Club,33.5988509,-111.7162454,4.6,0
ChIJe9Zb1JxaK4cRmPrVSRSoZLM,Cimarron Center,33.6643888,-112.4260595,4.7,0
ChIJK1jX5vhFK4cRjYcf0GrYpgs,Planet Fitness,33.6368688,-112.3956513,4.6,0
ChIJCRWZtvtDK4cRlPGX7beG9x0,Northwest Valley Family YMCA,33.5751925,-112.3281152,4.3,0
ChIJffJ2xEBbK4cRzn16Pa1bBgY,R.H. Johnson Recreation Center,33.6628571,-112.3561096,4.7,0
ChIJ_f4ZP0BnK4cRdiWKp0O8lQA,Life Time,33.7085318,-112.2043113,4.2,0
ChIJ1_N7PlZpK4cROz70T4BEX3k,Arrowhead Fitness Club,33.6635374,-112.2143768,3.9,0
ChIJ3a_n1wtoK4cRqXCts26J-ok,Mountainside Fitness Arrowhead,33.6689836,-112.2226625,4.5,0
ChIJoZZ3Zy5vK4cRwigRPC1OdzY,Fitness 1 Gym,33.6405063,-112.153096,4.7,0
ChIJZy46XTtpK4cRl6UiUmyidNI,Sun Devil Fitness Complex - West,33.607308,-112.1613371,4.6,0
ChIJrc_T3nJrK4cRD7ReQOmL6P0,Amped Fitness (Glendale Galleria),33.5832857,-112.1850843,4.2,0
ChIJ3wElZ-FpK4cR34s8G_hahY0,Unstoppable Physique LLC,33.6111971,-112.1656903,5.0,0
ChIJ2-1_I_1oK4cRUhnyPqydXbM,LA Fitness,33.6403017,-112.1786033,4.2,0
ChIJ7WGovYVpK4cRu98d8VANslM,Anytime Fitness,33.5976787,-112.2011096,4.5,0
ChIJ8ZF2WS1rK4cR0l9ddSb4fDs,Planet Fitness,33.5973929,-112.1528821,4.7,0
ChIJ4xZu_D9uK4cRHyJ45JTS67E,LA Fitness,33.6365579,-112.0713903,4.4,0
ChIJ44WTKwBzK4cRTFCZt9_DUIQ,Life Time,33.6033733,-111.9817473,4.6,0
ChIJX42pZppxK4cRZrX35TEQBnQ,LA Fitness,33.6392393,-112.0114712,4.5,0
