latitude,longitude,total_population,population_density,median_hh_income,median_age,pct_age_20_45,pct_bachelors_plus,reachable_pop_10min,reachable_pop_15min,reachable_pop_25min,competitor_count_3mi,nearest_competitor_dist_mi,eos_count_5mi,nearest_eos_dist_mi,years_open
33.165,-111.75999999999998,48670.0,3529.2930883784975,155764.40024655842,43.619905485925614,0.24622971029381552,0.5008120505444833,8814.0,48670.0,355801.0,0.0,5.71735577645259,0.0,5.7885736874609846,3.0
33.165,-111.74499999999998,46601.0,3614.387849499493,149720.44166434195,43.76457801334735,0.24186176262311965,0.49765843651423786,13203.0,46601.0,362948.0,0.0,5.760260638029832,0.0,6.0875718898708575,3.0
33.165,-111.72999999999998,52324.0,3407.64898926548,152497.82726855748,40.51707247152359,0.26406620288968735,0.4775234729760722,7055.0,52324.0,364487.0,0.0,5.930598593129497,0.0,6.489100800944836,3.0
33.165,-111.71499999999997,43058.0,3150.3550578916083,150079.1447350086,40.54780296344465,0.2590691625249663,0.48255413860374374,7055.0,43058.0,374168.0,0.0,6.217905454324053,0.0,5.992159931189912,3.0
33.165,-111.69999999999997,44860.0,2799.2755912352527,141929.87619259921,37.929518502006246,0.27579135086937145,0.45172147124386985,0.0,44860.0,365279.0,0.0,6.606939406131013,0.0,5.362621627790425,3.0
33.165,-111.68499999999997,55713.0,2767.6403594774774,130805.3195304507,36.95074040170157,0.31728680918277596,0.3765401845170786,4383.0,55713.0,355233.0,0.0,6.690920475239207,1.0,4.807118920519754,3.0
33.165,-111.66999999999997,57689.0,2789.5744620863493,124869.4598276968,37.38833399781587,0.32019969144897636,0.36760715040995684,4383.0,57689.0,352570.0,0.0,6.310754798349495,1.0,4.354081466910089,3.0
33.165,-111.65499999999997,57926.0,2848.5314707741622,116530.63884956669,37.031813002796675,0.32641646238304045,0.3234894900390153,16309.0,57926.0,328366.0,0.0,5.44584784113714,1.0,4.038144380312771,3.0
33.165,-111.63999999999997,77951.0,3010.5343087153915,107417.1135713461,37.30085438288155,0.32673089504945413,0.30983987504971067,24355.0,77951.0,308197.0,0.0,4.581249044096568,1.0,3.892832665720954,3.0
33.165,-111.62499999999997,82072.0,3035.1231874495684,104366.9370918218,36.32401306170192,0.33692367677161517,0.2991464908860513,24355.0,82072.0,303283.0,0.0,3.7171734436994166,1.0,3.9370844290727884,3.0
33.165,-111.60999999999997,96907.0,3328.738583869567,102451.10696853684,35.99260631326942,0.33803543603661246,0.30548777590886106,48598.0,96907.0,289706.0,1.0,2.8540962717361644,1.0,4.16486169653738,3.0
33.18,-112.45,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,12644.0,0.0,9.319033658549712,0.0,19.82083742401887,3.0
33.18,-112.435,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,12644.0,0.0,9.304116972722303,0.0,19.681744320959545,3.0
33.18,-112.42,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,7133.0,7133.0,12644.0,0.0,9.3695116450276,0.0,19.17804156497962,3.0
33.18,-112.405,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,7133.0,7133.0,12644.0,0.0,9.513561678036606,0.0,18.584029660418363,3.0
33.18,-112.39,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,7133.0,7133.0,7133.0,0.0,9.732775279877593,0.0,18.01205124581384,3.0
33.18,-112.375,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,7133.0,7133.0,7133.0,0.0,10.022221560446745,0.0,17.46427133480265,3.0
33.18,-112.36,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,7133.0,7133.0,7133.0,0.0,10.376024618130801,0.0,16.943037152196393,3.0
33.18,-112.345,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,7133.0,0.0,10.787854293450579,0.0,16.4508721391024,3.0
33.18,-112.33,7133.0,24.729751281037867,86347.0,47.4,0.27169493901584185,0.311,0.0,7133.0,7133.0,0.0,11.251340593399794,0.0,15.990460651424646,3.0
